Local time,Open,High,Low,Close,Volume
07.02.2017 09:00:00.000 GMT+0900,18825.531,18988.445,18820.531,18957.674,698.8
08.02.2017 09:00:00.000 GMT+0900,18953.030,19061.336,18881.023,18970.725,634.5251
09.02.2017 09:00:00.000 GMT+0900,18910.031,19225.793,18880.810,19172.531,617.5128
10.02.2017 09:00:00.000 GMT+0900,19272.531,19472.530,19267.530,19357.530,604.4947
11.02.2017 09:00:00.000 GMT+0900,19357.530,19357.530,19357.530,19357.530,0
12.02.2017 09:00:00.000 GMT+0900,19357.530,19357.530,19357.530,19357.530,0
13.02.2017 09:00:00.000 GMT+0900,19437.530,19547.049,19416.830,19496.530,544.3909
14.02.2017 09:00:00.000 GMT+0900,19460.031,19499.977,19237.434,19486.258,639.6036
15.02.2017 09:00:00.000 GMT+0900,19475.030,19507.371,19354.686,19428.434,665.6085
16.02.2017 09:00:00.000 GMT+0900,19416.297,19422.861,19187.530,19272.822,608.4857
17.02.2017 09:00:00.000 GMT+0900,19230.530,19280.559,19040.633,19170.531,541.3275
18.02.2017 09:00:00.000 GMT+0900,19170.531,19170.531,19170.531,19170.531,0
19.02.2017 09:00:00.000 GMT+0900,19170.531,19170.531,19170.531,19170.531,0
20.02.2017 09:00:00.000 GMT+0900,19165.531,19289.602,19156.867,19282.387,278.7939
21.02.2017 09:00:00.000 GMT+0900,19306.293,19489.113,19300.459,19462.530,450.5422
22.02.2017 09:00:00.000 GMT+0900,19402.030,19419.791,19290.670,19357.530,563.6241
23.02.2017 09:00:00.000 GMT+0900,19289.030,19385.322,19239.889,19297.531,430.9077
24.02.2017 09:00:00.000 GMT+0900,19342.443,19390.205,19089.336,19150.531,564.2351
25.02.2017 09:00:00.000 GMT+0900,19150.531,19150.531,19150.531,19150.531,0
26.02.2017 09:00:00.000 GMT+0900,19150.531,19150.531,19150.531,19150.531,0
27.02.2017 09:00:00.000 GMT+0900,19121.031,19228.748,19000.168,19211.031,593.6577
28.02.2017 09:00:00.000 GMT+0900,19218.531,19275.102,19025.604,19136.030,621.6254
01.03.2017 09:00:00.000 GMT+0900,19322.030,19629.137,19167.396,19573.530,900.4584
02.03.2017 09:00:00.000 GMT+0900,19621.031,19668.354,19557.492,19566.030,664.3331
03.03.2017 09:00:00.000 GMT+0900,19550.021,19592.830,19396.934,19471.031,715.5261
04.03.2017 09:00:00.000 GMT+0900,19471.031,19471.031,19471.031,19471.031,0
05.03.2017 09:00:00.000 GMT+0900,19471.031,19471.031,19471.031,19471.031,0
06.03.2017 09:00:00.000 GMT+0900,19374.031,19419.310,19306.570,19384.031,488.4903
07.03.2017 09:00:00.000 GMT+0900,19364.030,19397.814,19314.840,19346.030,424.6234
08.03.2017 09:00:00.000 GMT+0900,19278.530,19413.170,19199.855,19305.031,388.4558
09.03.2017 09:00:00.000 GMT+0900,19341.059,19437.094,19262.531,19416.031,232.2236
10.03.2017 09:00:00.000 GMT+0900,19519.031,19666.350,19516.030,19585.031,569.8319
11.03.2017 09:00:00.000 GMT+0900,19585.031,19585.031,19585.031,19585.031,0
12.03.2017 09:00:00.000 GMT+0900,19585.031,19585.031,19585.031,19585.031,0
13.03.2017 09:00:00.000 GMT+0900,19620.030,19681.553,19596.992,19681.553,338.5569
14.03.2017 09:00:00.000 GMT+0900,19631.030,19667.371,19519.146,19557.027,455.9962
15.03.2017 09:00:00.000 GMT+0900,19546.031,19597.030,19477.145,19484.287,277.2828
16.03.2017 09:00:00.000 GMT+0900,19493.031,19639.031,19459.030,19459.030,372.1364
17.03.2017 09:00:00.000 GMT+0900,19536.031,19556.152,19409.682,19430.156,454.7646
18.03.2017 09:00:00.000 GMT+0900,19430.156,19430.156,19430.156,19430.156,0
19.03.2017 09:00:00.000 GMT+0900,19430.156,19430.156,19430.156,19430.156,0
20.03.2017 09:00:00.000 GMT+0900,19458.031,19503.691,19353.031,19404.316,262.279
21.03.2017 09:00:00.000 GMT+0900,19372.031,19499.800,19089.030,19108.031,405.9438
22.03.2017 09:00:00.000 GMT+0900,19144.030,19157.810,18904.030,19044.016,105.071
23.03.2017 09:00:00.000 GMT+0900,19038.031,19133.030,18949.030,19059.031,120.6847
24.03.2017 09:00:00.000 GMT+0900,19214.031,19308.184,19124.030,19228.030,173.4866
25.03.2017 09:00:00.000 GMT+0900,19228.030,19228.030,19228.030,19228.030,0
26.03.2017 09:00:00.000 GMT+0900,19228.030,19228.030,19228.030,19228.030,0
27.03.2017 09:00:00.000 GMT+0900,18983.031,19134.030,18874.030,19118.030,58.1969
28.03.2017 09:00:00.000 GMT+0900,19172.031,19348.031,19073.030,19333.030,2.2829
29.03.2017 09:00:00.000 GMT+0900,19189.030,19230.031,19100.030,19159.031,2.4215
30.03.2017 09:00:00.000 GMT+0900,19185.031,19194.031,19020.030,19185.031,2.65
31.03.2017 09:00:00.000 GMT+0900,19175.031,19215.031,18885.030,18974.030,2.0928
01.04.2017 09:00:00.000 GMT+0900,18974.030,18974.030,18974.030,18974.030,0
02.04.2017 09:00:00.000 GMT+0900,18974.030,18974.030,18974.030,18974.030,0
03.04.2017 09:00:00.000 GMT+0900,18960.031,19074.031,18905.030,18995.031,20.926
04.04.2017 09:00:00.000 GMT+0900,18925.030,18945.031,18700.030,18895.031,43.7868
05.04.2017 09:00:00.000 GMT+0900,18849.030,19033.031,18770.030,18805.031,29.229
06.04.2017 09:00:00.000 GMT+0900,18695.031,18782.031,18530.030,18730.031,29.12
07.04.2017 09:00:00.000 GMT+0900,18749.031,18857.031,18509.030,18805.031,16.2729
08.04.2017 09:00:00.000 GMT+0900,18805.031,18805.031,18805.031,18805.031,0
09.04.2017 09:00:00.000 GMT+0900,18805.031,18805.031,18805.031,18805.031,0
10.04.2017 09:00:00.000 GMT+0900,18824.031,18857.031,18694.030,18755.031,26.3845
11.04.2017 09:00:00.000 GMT+0900,18743.031,18762.030,18549.030,18634.031,18.4872
12.04.2017 09:00:00.000 GMT+0900,18509.030,18624.031,18459.030,18479.030,52.5412
13.04.2017 09:00:00.000 GMT+0900,18334.030,18458.030,18304.031,18339.030,57.944
14.04.2017 09:00:00.000 GMT+0900,18339.030,18339.030,18339.030,18339.030,0
15.04.2017 09:00:00.000 GMT+0900,18339.030,18339.030,18339.030,18339.030,0
16.04.2017 09:00:00.000 GMT+0900,18339.030,18339.030,18339.030,18339.030,0
17.04.2017 09:00:00.000 GMT+0900,18279.031,18478.030,18224.030,18459.030,19.1353
