Local time,Open,High,Low,Close,Volume
11.02.2017 09:00:00.000 GMT+0900,113.169,113.169,113.169,113.169,0
12.02.2017 09:00:00.000 GMT+0900,113.512,113.968,113.453,113.928,8206.6104
13.02.2017 09:00:00.000 GMT+0900,113.928,114.167,113.438,113.684,188676.5469
14.02.2017 09:00:00.000 GMT+0900,113.683,114.499,113.250,114.286,204688.8438
15.02.2017 09:00:00.000 GMT+0900,114.287,114.957,113.865,114.125,210171.2031
16.02.2017 09:00:00.000 GMT+0900,114.128,114.163,113.082,113.320,225154.5313
17.02.2017 09:00:00.000 GMT+0900,113.323,113.502,112.618,112.793,190824.2969
18.02.2017 09:00:00.000 GMT+0900,112.793,112.793,112.793,112.793,0
19.02.2017 09:00:00.000 GMT+0900,112.880,112.986,112.792,112.917,6191.23
20.02.2017 09:00:00.000 GMT+0900,112.920,113.297,112.836,113.272,118947.2813
21.02.2017 09:00:00.000 GMT+0900,113.269,113.778,113.240,113.671,165310.125
22.02.2017 09:00:00.000 GMT+0900,113.672,113.679,112.907,113.410,201010.25
23.02.2017 09:00:00.000 GMT+0900,113.412,113.424,112.552,112.696,174869.0781
24.02.2017 09:00:00.000 GMT+0900,112.695,112.956,111.936,112.083,171519.1563
25.02.2017 09:00:00.000 GMT+0900,112.083,112.083,112.083,112.083,0
26.02.2017 09:00:00.000 GMT+0900,112.127,112.316,112.127,112.180,10143.1201
27.02.2017 09:00:00.000 GMT+0900,112.184,112.841,111.919,112.746,172581.9375
28.02.2017 09:00:00.000 GMT+0900,112.746,113.114,111.690,113.095,204373.6406
01.03.2017 09:00:00.000 GMT+0900,113.096,114.144,112.766,114.118,237709.3594
02.03.2017 09:00:00.000 GMT+0900,114.116,114.593,113.828,114.354,183750.7031
03.03.2017 09:00:00.000 GMT+0900,114.354,114.748,113.810,113.995,193959.9063
04.03.2017 09:00:00.000 GMT+0900,113.995,113.995,113.995,113.995,0
05.03.2017 09:00:00.000 GMT+0900,113.883,114.133,113.798,113.817,6423.6899
06.03.2017 09:00:00.000 GMT+0900,113.813,114.101,113.559,113.903,155565.5781
07.03.2017 09:00:00.000 GMT+0900,113.906,114.154,113.730,113.921,141982.375
08.03.2017 09:00:00.000 GMT+0900,113.922,114.750,113.609,114.412,180592.7188
09.03.2017 09:00:00.000 GMT+0900,114.412,115.192,114.365,115.142,207097.9375
10.03.2017 09:00:00.000 GMT+0900,115.142,115.504,114.656,114.724,188451.5938
11.03.2017 09:00:00.000 GMT+0900,114.724,114.724,114.724,114.724,0
12.03.2017 09:00:00.000 GMT+0900,114.702,114.882,114.680,114.757,5833.4502
13.03.2017 09:00:00.000 GMT+0900,114.757,114.978,114.483,114.915,156021.1563
14.03.2017 09:00:00.000 GMT+0900,114.915,115.193,114.519,114.657,158395.9531
15.03.2017 09:00:00.000 GMT+0900,114.658,114.884,113.175,113.388,191828.4219
16.03.2017 09:00:00.000 GMT+0900,113.388,113.539,112.905,113.349,203625.9063
17.03.2017 09:00:00.000 GMT+0900,113.354,113.494,112.564,112.663,143000.8438
18.03.2017 09:00:00.000 GMT+0900,112.663,112.663,112.663,112.663,0
19.03.2017 09:00:00.000 GMT+0900,112.662,112.756,112.587,112.679,6335.79
20.03.2017 09:00:00.000 GMT+0900,112.679,112.898,112.439,112.562,138096.75
21.03.2017 09:00:00.000 GMT+0900,112.564,112.866,111.433,111.534,218729.25
22.03.2017 09:00:00.000 GMT+0900,111.534,111.769,110.733,111.371,235372.8438
23.03.2017 09:00:00.000 GMT+0900,111.370,111.579,110.628,110.993,249993.9844
24.03.2017 09:00:00.000 GMT+0900,110.996,111.481,110.627,111.303,197129.125
25.03.2017 09:00:00.000 GMT+0900,111.303,111.303,111.303,111.303,0
26.03.2017 09:00:00.000 GMT+0900,110.897,111.046,110.418,110.553,19005.5
27.03.2017 09:00:00.000 GMT+0900,110.552,110.827,110.109,110.765,193045.5313
28.03.2017 09:00:00.000 GMT+0900,110.764,111.242,110.179,111.228,184670.5938
29.03.2017 09:00:00.000 GMT+0900,111.228,111.315,110.717,111.149,187320.75
30.03.2017 09:00:00.000 GMT+0900,111.149,111.943,110.942,111.738,191702.0938
31.03.2017 09:00:00.000 GMT+0900,111.737,112.197,111.242,111.379,193655.5
01.04.2017 09:00:00.000 GMT+0900,111.379,111.379,111.379,111.379,0
02.04.2017 09:00:00.000 GMT+0900,111.364,111.501,111.223,111.273,7985.25
03.04.2017 09:00:00.000 GMT+0900,111.271,111.589,110.683,110.683,184163.8594
04.04.2017 09:00:00.000 GMT+0900,110.684,110.911,110.270,110.846,197172.875
05.04.2017 09:00:00.000 GMT+0900,110.847,111.454,110.359,110.395,222185.7656
06.04.2017 09:00:00.000 GMT+0900,110.394,111.141,110.290,110.888,212438.3438
07.04.2017 09:00:00.000 GMT+0900,110.886,111.366,110.133,111.068,261310.2969
08.04.2017 09:00:00.000 GMT+0900,111.068,111.068,111.068,111.068,0
09.04.2017 09:00:00.000 GMT+0900,111.034,111.361,111.008,111.220,10553.9805
10.04.2017 09:00:00.000 GMT+0900,111.219,111.580,110.659,110.691,168669.5
11.04.2017 09:00:00.000 GMT+0900,110.690,110.847,109.535,109.560,206772.8281
12.04.2017 09:00:00.000 GMT+0900,109.559,109.867,108.844,108.890,244868.8281
13.04.2017 09:00:00.000 GMT+0900,108.889,109.394,108.725,109.114,195974.1406
14.04.2017 09:00:00.000 GMT+0900,109.114,109.224,108.548,108.567,75960.6563
15.04.2017 09:00:00.000 GMT+0900,108.567,108.567,108.567,108.567,0
16.04.2017 09:00:00.000 GMT+0900,108.696,108.814,108.238,108.309,17681.9004
17.04.2017 09:00:00.000 GMT+0900,108.312,109.169,108.132,109.128,128555.0234
18.04.2017 09:00:00.000 GMT+0900,109.127,109.219,108.322,108.542,189117.2656
19.04.2017 09:00:00.000 GMT+0900,108.542,109.181,108.413,108.830,180904.2656
20.04.2017 09:00:00.000 GMT+0900,108.832,109.487,108.719,109.382,179997.7188
21.04.2017 09:00:00.000 GMT+0900,109.384,109.392,108.881,109.072,161393.625
22.04.2017 09:00:00.000 GMT+0900,109.072,109.072,109.072,109.072,0
23.04.2017 09:00:00.000 GMT+0900,110.521,110.531,109.936,110.025,23902.1895
24.04.2017 09:00:00.000 GMT+0900,110.022,110.347,109.594,109.630,188468.625
25.04.2017 09:00:00.000 GMT+0900,109.629,111.187,109.626,111.076,189280.4688
26.04.2017 09:00:00.000 GMT+0900,111.076,111.778,110.873,111.175,228061.3438
27.04.2017 09:00:00.000 GMT+0900,111.176,111.599,111.043,111.218,186219.4844
28.04.2017 09:00:00.000 GMT+0900,111.219,111.718,111.071,111.498,161169.6563
29.04.2017 09:00:00.000 GMT+0900,111.498,111.498,111.498,111.498,0
30.04.2017 09:00:00.000 GMT+0900,111.241,111.459,111.205,111.310,7555.8799
01.05.2017 09:00:00.000 GMT+0900,111.310,111.943,111.300,111.820,116251.2813
02.05.2017 09:00:00.000 GMT+0900,111.822,112.304,111.816,111.974,139851.2969
03.05.2017 09:00:00.000 GMT+0900,111.973,112.828,111.969,112.800,140233.3125
04.05.2017 09:00:00.000 GMT+0900,112.798,113.049,112.318,112.547,158002.375
05.05.2017 09:00:00.000 GMT+0900,112.545,112.804,112.088,112.686,160960.4688
06.05.2017 09:00:00.000 GMT+0900,112.686,112.686,112.686,112.686,0
07.05.2017 09:00:00.000 GMT+0900,112.912,112.958,112.622,112.661,14650.8604
08.05.2017 09:00:00.000 GMT+0900,112.661,113.295,112.396,113.220,162245.5
09.05.2017 09:00:00.000 GMT+0900,113.221,114.328,113.134,113.699,165765.0156
10.05.2017 09:00:00.000 GMT+0900,113.697,114.370,113.649,114.335,167254.8438
11.05.2017 09:00:00.000 GMT+0900,114.335,114.347,113.458,113.820,159042.5313
12.05.2017 09:00:00.000 GMT+0900,113.822,113.952,113.199,113.342,146192.1094
13.05.2017 09:00:00.000 GMT+0900,113.342,113.342,113.342,113.342,0
14.05.2017 09:00:00.000 GMT+0900,113.132,113.349,113.123,113.265,9330.8701
15.05.2017 09:00:00.000 GMT+0900,113.265,113.851,113.234,113.645,136748.3438
16.05.2017 09:00:00.000 GMT+0900,113.643,113.771,112.622,112.689,162778.9688
17.05.2017 09:00:00.000 GMT+0900,112.689,112.732,110.530,111.063,230553.7656
18.05.2017 09:00:00.000 GMT+0900,111.063,111.739,110.237,111.435,262134.6094
19.05.2017 09:00:00.000 GMT+0900,111.433,111.697,111.041,111.247,186247.5156
20.05.2017 09:00:00.000 GMT+0900,111.247,111.247,111.247,111.247,0
21.05.2017 09:00:00.000 GMT+0900,110.981,111.329,110.981,111.283,9009.6602
22.05.2017 09:00:00.000 GMT+0900,111.284,111.606,110.862,110.903,164233.9688
23.05.2017 09:00:00.000 GMT+0900,110.903,111.992,110.903,111.959,194197.6875
24.05.2017 09:00:00.000 GMT+0900,111.955,112.127,111.480,111.541,183150.9688
25.05.2017 09:00:00.000 GMT+0900,111.543,111.951,111.511,111.741,165094.4844
26.05.2017 09:00:00.000 GMT+0900,111.743,111.805,110.878,111.312,141071.7188
27.05.2017 09:00:00.000 GMT+0900,111.312,111.312,111.312,111.312,0
28.05.2017 09:00:00.000 GMT+0900,111.205,111.324,111.166,111.252,8502.5703
29.05.2017 09:00:00.000 GMT+0900,111.254,111.469,111.163,111.190,91686.9219
30.05.2017 09:00:00.000 GMT+0900,111.192,111.238,110.665,110.839,144809.2188
31.05.2017 09:00:00.000 GMT+0900,110.842,111.226,110.484,110.800,158560.2031
01.06.2017 09:00:00.000 GMT+0900,110.796,111.482,110.771,111.443,145656.1406
02.06.2017 09:00:00.000 GMT+0900,111.443,111.711,110.331,110.370,137162.5
03.06.2017 09:00:00.000 GMT+0900,110.370,110.370,110.370,110.370,0
04.06.2017 09:00:00.000 GMT+0900,110.341,110.556,110.341,110.469,8186.1899
05.06.2017 09:00:00.000 GMT+0900,110.466,110.731,110.309,110.392,106870.3672
06.06.2017 09:00:00.000 GMT+0900,110.394,110.445,109.227,109.499,158022.3281
07.06.2017 09:00:00.000 GMT+0900,109.496,109.919,109.116,109.917,151123.0156
08.06.2017 09:00:00.000 GMT+0900,109.918,110.384,109.380,109.874,164448.75
09.06.2017 09:00:00.000 GMT+0900,109.873,110.810,109.867,110.329,152926.7344
10.06.2017 09:00:00.000 GMT+0900,110.329,110.329,110.329,110.329,0
11.06.2017 09:00:00.000 GMT+0900,110.298,110.439,110.276,110.309,5121.6401
12.06.2017 09:00:00.000 GMT+0900,110.310,110.339,109.633,109.929,149654.2344
13.06.2017 09:00:00.000 GMT+0900,109.930,110.271,109.914,110.067,120192.3438
14.06.2017 09:00:00.000 GMT+0900,110.069,110.342,108.814,109.446,187307.8438
15.06.2017 09:00:00.000 GMT+0900,109.442,110.995,109.396,110.995,177874.6719
16.06.2017 09:00:00.000 GMT+0900,110.993,111.417,110.646,110.857,148318.7969
17.06.2017 09:00:00.000 GMT+0900,110.857,110.857,110.857,110.857,0
18.06.2017 09:00:00.000 GMT+0900,110.869,110.980,110.731,110.973,7426.2202
19.06.2017 09:00:00.000 GMT+0900,110.970,111.741,110.909,111.696,144884.9063
20.06.2017 09:00:00.000 GMT+0900,111.697,111.787,111.270,111.338,153519.2188
21.06.2017 09:00:00.000 GMT+0900,111.337,111.739,111.068,111.327,180093.4531
22.06.2017 09:00:00.000 GMT+0900,111.330,111.446,110.950,111.296,166823.5625
23.06.2017 09:00:00.000 GMT+0900,111.296,111.430,111.155,111.264,124751.8984
24.06.2017 09:00:00.000 GMT+0900,111.264,111.264,111.264,111.264,0
25.06.2017 09:00:00.000 GMT+0900,111.103,111.323,111.103,111.237,5424.4702
26.06.2017 09:00:00.000 GMT+0900,111.236,111.945,111.213,111.870,138648.0469
27.06.2017 09:00:00.000 GMT+0900,111.870,112.465,111.461,112.196,174482.625
28.06.2017 09:00:00.000 GMT+0900,112.196,112.415,111.830,112.354,198298.5625
29.06.2017 09:00:00.000 GMT+0900,112.350,112.925,111.812,111.995,206549.0469
30.06.2017 09:00:00.000 GMT+0900,111.997,112.606,111.733,112.352,167763.2344
01.07.2017 09:00:00.000 GMT+0900,112.352,112.352,112.352,112.352,0
02.07.2017 09:00:00.000 GMT+0900,112.058,112.387,112.058,112.244,7747.5801
03.07.2017 09:00:00.000 GMT+0900,112.241,113.471,112.197,113.384,146699.0313
04.07.2017 09:00:00.000 GMT+0900,113.387,113.391,112.740,112.966,131161.875
05.07.2017 09:00:00.000 GMT+0900,112.968,113.686,112.825,113.199,160265
06.07.2017 09:00:00.000 GMT+0900,113.201,113.469,112.886,113.154,160897.9063
07.07.2017 09:00:00.000 GMT+0900,113.153,114.179,113.153,113.894,149472.5469
08.07.2017 09:00:00.000 GMT+0900,113.894,113.894,113.894,113.894,0
09.07.2017 09:00:00.000 GMT+0900,113.863,114.064,113.858,113.972,8076.4702
10.07.2017 09:00:00.000 GMT+0900,113.971,114.301,113.907,114.062,121525.2188
11.07.2017 09:00:00.000 GMT+0900,114.062,114.494,113.718,113.748,335283.0938
12.07.2017 09:00:00.000 GMT+0900,113.465,113.573,113.462,113.533,1516
