Local time,Open,High,Low,Close,Volume
03.12.2016 21:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
03.12.2016 22:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
03.12.2016 23:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 00:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 01:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 02:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 03:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 04:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 05:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 06:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 07:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 08:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 09:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 10:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 11:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 12:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 13:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 14:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 15:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 16:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 17:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 18:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 19:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 20:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 21:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 22:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
04.12.2016 23:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
05.12.2016 00:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
05.12.2016 01:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
05.12.2016 02:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
05.12.2016 03:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
05.12.2016 04:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
05.12.2016 05:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
05.12.2016 06:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
05.12.2016 07:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
05.12.2016 08:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
05.12.2016 09:00:00.000 GMT+0900,18366.530,18366.530,18366.530,18366.530,0
05.12.2016 10:00:00.000 GMT+0900,18336.530,18357.055,18307.146,18320.213,19.6832
05.12.2016 11:00:00.000 GMT+0900,18320.740,18342.480,18309.176,18314.490,15.3177
05.12.2016 12:00:00.000 GMT+0900,18314.490,18328.432,18231.766,18252.562,18.4005
05.12.2016 13:00:00.000 GMT+0900,18254.488,18278.613,18242.879,18272.670,16.2086
05.12.2016 14:00:00.000 GMT+0900,18272.146,18289.908,18252.727,18269.963,21.8828
05.12.2016 15:00:00.000 GMT+0900,18269.963,18281.805,18250.880,18250.880,13.4452
05.12.2016 16:00:00.000 GMT+0900,18251.000,18412.037,18246.807,18392.367,36.1106
05.12.2016 17:00:00.000 GMT+0900,18392.320,18521.830,18361.342,18520.930,56.4824
05.12.2016 18:00:00.000 GMT+0900,18520.690,18525.312,18454.963,18490.530,33.8815
05.12.2016 19:00:00.000 GMT+0900,18490.576,18512.957,18463.684,18472.360,30.6146
05.12.2016 20:00:00.000 GMT+0900,18472.360,18482.096,18465.957,18481.887,24.4949
05.12.2016 21:00:00.000 GMT+0900,18481.957,18494.838,18461.734,18467.475,21.8258
05.12.2016 22:00:00.000 GMT+0900,18467.490,18482.781,18453.434,18475.768,27.3246
05.12.2016 23:00:00.000 GMT+0900,18476.094,18512.592,18432.385,18501.322,37.6208
06.12.2016 00:00:00.000 GMT+0900,18501.383,18572.020,18501.322,18540.424,46.1022
06.12.2016 01:00:00.000 GMT+0900,18540.385,18548.979,18482.697,18491.283,37.3127
06.12.2016 02:00:00.000 GMT+0900,18491.540,18498.258,18407.314,18407.818,34.2664
06.12.2016 03:00:00.000 GMT+0900,18407.941,18428.852,18372.293,18410.193,29.9489
06.12.2016 04:00:00.000 GMT+0900,18410.178,18417.809,18389.637,18416.690,25.1721
06.12.2016 05:00:00.000 GMT+0900,18416.662,18423.623,18407.560,18409.979,21.4074
06.12.2016 06:00:00.000 GMT+0900,18410.006,18410.006,18406.531,18406.531,0.0093
06.12.2016 07:00:00.000 GMT+0900,18406.531,18406.531,18406.531,18406.531,0
06.12.2016 08:00:00.000 GMT+0900,18406.531,18406.531,18406.531,18406.531,0
06.12.2016 09:00:00.000 GMT+0900,18406.531,18406.531,18406.531,18406.531,0
06.12.2016 10:00:00.000 GMT+0900,18430.246,18442.330,18361.195,18361.195,17.9914
06.12.2016 11:00:00.000 GMT+0900,18361.195,18381.115,18337.880,18354.738,13.8173
