Local time,Open,High,Low,Close,Volume
04.12.2016 02:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 03:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 04:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 05:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 06:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 07:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 08:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 09:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 10:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 11:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 12:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 13:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 14:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 15:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 16:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 17:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 18:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 19:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 20:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 21:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 22:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
04.12.2016 23:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 00:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 01:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 02:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 03:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 04:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 05:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 06:00:00.000 GMT+0900,113.539,113.539,113.539,113.539,0
05.12.2016 07:00:00.000 GMT+0900,113.361,113.562,112.889,113.050,6378.8501
05.12.2016 08:00:00.000 GMT+0900,113.047,113.573,113.002,113.527,12321.3398
05.12.2016 09:00:00.000 GMT+0900,113.535,113.805,113.456,113.737,12631.3096
05.12.2016 10:00:00.000 GMT+0900,113.735,113.856,113.704,113.781,8908.9297
05.12.2016 11:00:00.000 GMT+0900,113.785,113.830,113.525,113.663,6497.3599
05.12.2016 12:00:00.000 GMT+0900,113.673,113.682,113.336,113.464,8059.8999
05.12.2016 13:00:00.000 GMT+0900,113.466,113.602,113.466,113.571,6368.27
05.12.2016 14:00:00.000 GMT+0900,113.566,113.603,113.449,113.452,6192.0898
05.12.2016 15:00:00.000 GMT+0900,113.454,113.557,113.337,113.399,7636.7402
05.12.2016 16:00:00.000 GMT+0900,113.399,113.951,113.399,113.919,15371.54
05.12.2016 17:00:00.000 GMT+0900,113.917,114.154,113.864,114.149,18784.6191
05.12.2016 18:00:00.000 GMT+0900,114.150,114.189,113.948,114.189,11695.4004
05.12.2016 19:00:00.000 GMT+0900,114.189,114.451,114.160,114.318,12180.0703
05.12.2016 20:00:00.000 GMT+0900,114.317,114.397,114.166,114.391,11956.3496
05.12.2016 21:00:00.000 GMT+0900,114.391,114.475,114.219,114.287,9912.2402
05.12.2016 22:00:00.000 GMT+0900,114.288,114.383,114.173,114.296,13377.6396
05.12.2016 23:00:00.000 GMT+0900,114.295,114.443,114.034,114.381,13908.8896
06.12.2016 00:00:00.000 GMT+0900,114.465,114.776,114.368,114.395,15502.4502
06.12.2016 01:00:00.000 GMT+0900,114.396,114.453,114.100,114.113,12157.2998
06.12.2016 02:00:00.000 GMT+0900,114.116,114.185,113.380,113.426,11538.9404
06.12.2016 03:00:00.000 GMT+0900,113.426,113.663,113.161,113.562,11532.6904
06.12.2016 04:00:00.000 GMT+0900,113.562,113.789,113.478,113.760,8320.2197
06.12.2016 05:00:00.000 GMT+0900,113.757,113.799,113.665,113.759,6756.8799
06.12.2016 06:00:00.000 GMT+0900,113.756,113.884,113.745,113.868,2808.6699
06.12.2016 07:00:00.000 GMT+0900,113.871,113.890,113.808,113.815,1589.71
06.12.2016 08:00:00.000 GMT+0900,113.814,113.956,113.753,113.861,5351.3198
06.12.2016 09:00:00.000 GMT+0900,113.862,113.933,113.549,113.599,8812.1104
06.12.2016 10:00:00.000 GMT+0900,113.601,113.739,113.505,113.681,7719.1602
06.12.2016 11:00:00.000 GMT+0900,113.683,113.694,113.594,113.660,5452.5698
06.12.2016 12:00:00.000 GMT+0900,113.661,113.810,113.552,113.750,5395.9302
06.12.2016 13:00:00.000 GMT+0900,113.748,113.842,113.724,113.775,4495.52
06.12.2016 14:00:00.000 GMT+0900,113.776,113.896,113.724,113.888,4655.52
06.12.2016 15:00:00.000 GMT+0900,113.889,114.160,113.868,114.134,6796.0498
06.12.2016 16:00:00.000 GMT+0900,114.134,114.147,113.732,113.835,9884.0703
06.12.2016 17:00:00.000 GMT+0900,113.834,113.970,113.728,113.940,11769.46
06.12.2016 18:00:00.000 GMT+0900,113.940,114.138,113.840,114.136,9258.7197
06.12.2016 19:00:00.000 GMT+0900,114.135,114.190,114.015,114.061,7665.8599
06.12.2016 20:00:00.000 GMT+0900,114.061,114.135,113.903,114.051,10429.4502
06.12.2016 21:00:00.000 GMT+0900,114.051,114.069,113.672,113.912,11679.1602
06.12.2016 22:00:00.000 GMT+0900,113.913,113.974,113.828,113.898,11999.0098
06.12.2016 23:00:00.000 GMT+0900,113.898,114.059,113.824,113.990,13360.0596
07.12.2016 00:00:00.000 GMT+0900,113.990,114.100,113.733,113.988,13335.4805
07.12.2016 01:00:00.000 GMT+0900,113.986,114.001,113.864,113.989,9674.9297
07.12.2016 02:00:00.000 GMT+0900,113.988,114.087,113.895,113.908,7543.2002
07.12.2016 03:00:00.000 GMT+0900,113.909,114.059,113.868,114.017,4893.98
07.12.2016 04:00:00.000 GMT+0900,114.014,114.099,113.957,114.086,4291.3799
07.12.2016 05:00:00.000 GMT+0900,114.088,114.123,113.995,114.029,4369.0698
07.12.2016 06:00:00.000 GMT+0900,114.032,114.072,113.999,114.031,2373.29
07.12.2016 07:00:00.000 GMT+0900,114.031,114.086,114.012,114.032,1831.11
07.12.2016 08:00:00.000 GMT+0900,114.033,114.060,113.949,114.046,2689.1899
07.12.2016 09:00:00.000 GMT+0900,114.047,114.290,114.047,114.239,8171.4399
07.12.2016 10:00:00.000 GMT+0900,114.239,114.311,114.028,114.088,6686.5498
07.12.2016 11:00:00.000 GMT+0900,114.088,114.159,114.059,114.081,6479.1001
07.12.2016 12:00:00.000 GMT+0900,114.081,114.106,113.965,114.054,5016.1699
07.12.2016 13:00:00.000 GMT+0900,114.052,114.196,114.052,114.168,4232.4102
07.12.2016 14:00:00.000 GMT+0900,114.168,114.309,114.138,114.297,5428.52
07.12.2016 15:00:00.000 GMT+0900,114.295,114.388,114.188,114.321,5020.4702
